3424.5, 126.4, 104.28088105726873, 48.01590528634359, 2.6, 2869.0, 103.9, 37.21, 106.4, 785.0, 47.8, 0.648, 44.2, 163.13324999999998, 12.7, nan, 177.0, 
3424.5, 121.4, 104.42884344146684, 50.5755373765868, 2.6, 3112.0, 104.0, 37.21, 106.7, 777.0, 50.6, 0.648, 44.2, 149.961, 14.3, nan, 164.0, 
3437.0, 79.0, 100.8, 25.9, 0.5, 1168.0, 99.8, 36.46, 106.5, 782.0, 40.0, 0.684, 44.2, 215.0, 7.5, nan, 219.0,
3437.0, 110.8, 100.6, 36.3, 1.6, 1996.0, 100.1, 36.46, 106.6, 782.0, 54.0, 0.684, 44.2, 193.0, 9.53, nan, 200.0, 
3437.0, 115.5, 101.2, 41.0, 1.9, 2545.0, 100.1, 36.46, 106.5, 782.0, 54.0, 0.684, 44.2, 173.0, 11.11, nan, 161.0, 
3437.0, 113.2, 101.3, 46.2, 1.0, 3043.0, 100.3, 36.46, 106.4, 782.0, 56.0, 0.684, 44.2, 154.0, 12.7, nan, 157.0, 
3440.0, 60.9, 92.0526897987506, 25.94277793199168, 0.2, 1187.0, 90.0, 29.17, 102.55, 770.1, 44.0, 0.57, 44.2, 163.0, 7.94, nan, 180.0,
3277.8, 152.8, 103.6, 46.1, 3.3, 2740.0, 103.2, 40.35, 106.47, 790.0, 45.3, 0.672, 44.5, 271.551, 11.11, nan, 201.0, 
3277.8, 196.5, 104.1, 50.5, 0.6, 3730.0, 102.7, 40.35, 106.4, 787.0, 50.3, 0.672, 44.5, 254.32575, 12.7, nan, 191.0, 
3284.0, 93.1, 88.7, 27.2, 1.1, 1773.0, 89.7, 35.28, 104.68, 782.0, 51.0, 0.66, 44.5, 241.0, 7.94, nan, 201.0, 
3284.0, 119.2, 91.2, 35.7, 2.0, 2750.0, 88.9, 35.28, 104.84, 782.0, 59.1, 0.66, 44.5, 240.0, 9.53, nan, 182.0,
3284.0, 156.8, 98.6, 46.3, 4.8, 4165.0, 94.4, 35.28, 104.78, 782.0, 65.0, 0.66, 44.5, 215.0, 12.7, nan, 153.0, 
3288.6, 84.7, 92.6, 28.1, 0.4, 1759.0, 89.9, 33.21, 104.4, 779.6, 51.0, 0.668, 48.3747, 230.0, 7.94, nan, 182.0,
3288.6, 123.0, 93.1, 41.3, 1.6, 3454.0, 90.8, 33.21, 104.6, 779.6, 60.0, 0.668, 48.3747, 215.0, 11.11, nan, 145.0, 
3289.8, 80.0, 95.94595105865976, 36.16154737938216, 1.1, 2223.0, 94.0, nan, 103.9, 772.6, 56.0, 0.671, 48.4, 199.0, 9.53, nan, 139.0,
3588.5, 159.2, 96.9, 47.8, 4.9, 4437.442082, 92.0, 40.39, 104.0, 792.0, 68.0, 0.683, 30.0, 215.0, 12.7, nan, 160.0,
3667.0, 123.1, 96.59738321167896, 33.68865328467154, 3.5, 2856.2, 92.8, 39.02, 105.57, 787.0, 55.0, 0.665, 63.3, 256.0, 9.53, nan, 174.0,
3437.0, 116.8, 101.4, 49.7, 0.8, 3320.0, 100.7, 36.46, 106.43, 782.0, 57.0, 0.684, 44.2, 138.0, 14.29, nan, 154.0,
3277.8, 116.8, 101.9, 25.9, 0.8, 1891.0, 101.5, 40.35, 106.2, 781.0, 26.5, 0.672, 44.5, 288.77625, 6.35, nan, 224.0,3440.0, 59.8, 92.6323398762964, 26.23892374702136, 0.2, 1172.0, 90.7, 29.17, 102.068, 770.1, 43.0, 0.57, 44.2, 163.0, 7.94, nan, 180.0,
3640.5, 185.2, 107.78597560975592, 42.71885670731711, 1.1, 3817.5, 103.7, 42.86, 105.0, 792.0, 62.0, 0.679, 63.3, 235.65819333398179, 11.11, nan, 187.0,
3588.5, 138.7, 94.5, 43.3, 3.9, 3706.486907, 90.3, 40.39, 104.5, 792.0, 66.0, 0.683, 30.0, 232.0, 11.11, nan, 169.0,
3579.0, 117.3, 103.4714148857772, 28.092309506263728, 1.2, 1713.8, 93.2, 41.231, 105.9, 793.7, 52.0, 0.661, 62.5724, 259.0, 7.94, nan, 230.0,
3653.0, 245.0, 97.87704524886881, 35.40620060331823, 0.8, 3895.7, 99.2, 53.27, 105.22, 798.0, 54.0, 0.654, 63.6, 197.0, 12.7, 5.727870401960785, 255.68112741124983,
3277.8, 82.6, 103.8, 40.1, 0.8, 1192.0, 101.5, 40.35, 106.4, 186.0, 39.0, 0.672, 44.5, 282.69675, 9.53, nan, 199.0,
3276.0, 264.3, 99.8, 52.1, 2.4, 5733.0, 98.5, 39.44, 105.16, 785.0, 70.0, 0.667, 44.5, 220.0, 14.3, nan, 186.0,
3284.0, 174.3, 98.5, 50.5, 6.5, 5113.0, 94.0, 35.28, 104.63, 782.0, 66.9, 0.66, 44.5, 197.0, 14.29, nan, 147.0,
nan, 254.0, 107.55553088133304, 52.22178972935467, 1.0, 5020.0, 90.8, nan, nan, 788.4, 69.0, 0.684659745226576, 63.6, 222.0, 14.29, 7.275189067726362, 219.042278656448,
3653.0, 209.7, 80.73293237250546, 37.26220177383591, 0.4, 5235.6, 100.8, 53.27, 105.02, 798.0, 51.0, 0.654, 63.6, 136.0, 15.88, 5.764899980578139, 223.10946098417853,
3650.0, 421.6, 107.0626261467888, 52.76279816513765, 6.4, 6020.6, 92.3, 47.33, 105.42, 795.0, 75.0, 0.682179796411318, 63.6, 280.0, 14.29, 9.636916858651475, 292.2406966150632,
