;;;;осредненные параметры;;;На конец режима;;;;;;;Стандартные условия;;;;Линейные условия;;;;;;;;;;;;;;;
;;Глубина манометра;Dшт;Руст;Рзаб;Pлин;Руст;Рзаб;Рлин;Туст;Тна шлейфе;Тзаб;Tлин;Дебит газа;Дебит ст. конд.;Дебит воды;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Рпл. Тек (Карноухов);Pсб;Pсб;Ro_g;Ro_c;Ro_w;Удельная плотность газа ;G_total;КГФ;КГФ
№;дд.мм.гггг;м;мм;бара;бара;бара;бар;бар;бар; С; С; С; С;1000 м3/сут;м3/сут;м3/сут;1000 м3/сут;м3/сут;м3/сут;м3/сут;м;МПа;МПа;МПа; атм; бар;кг/м3;кг/м3;кг/м3;б/р;кг/с;г/м3;т/тыс.м3
22501;18.06.07;3424,50;6,35;219,88;316,10;101,82;219,88;316,20;101,92;24,20;-;106,20;23,66;128,37;39,74;0,60;136,82;884,00;68,90;0,50;44,20;37,21;50,20;50,70;101,80;100,47;;780,00;;0,65;;;0,241
22501;19.06.07;3424,50;9,53;201,64;281,50;103,87;201,64;275,90;103,97;35,50;-;106,40;36,56;244,58;67,58;1,40;259,20;1867,00;120,40;1,40;44,20;37,21;50,20;50,70;103,60;102,25;;780,00;;0,65;;;0,216
22501;20.06.07;3424,50;11,11;182,39;257,90;103,06;182,39;258,00;103,45;42,30;-;106,47;42,63;295,81;71,29;2,18;311,24;2445,00;123,90;2,30;44,20;37,21;50,20;50,70;102,60;101,26;;792,00;;0,65;;;0,191
22501;21.06.07;3424,50;12,70;163,13;236,50;104,28;163,13;237,80;104,34;47,80;-;106,40;48,02;330,50;74,59;2,50;346,64;2869,00;126,40;2,60;44,20;37,21;50,20;50,70;103,90;102,54;;785,00;;0,65;;;0,177
22501;22.06.07;3424,50;14,30;149,96;221,20;104,43;149,96;221,30;104,62;50,60;-;106,70;50,58;346,70;73,12;2,55;362,52;3112,00;121,40;2,60;44,20;37,21;50,20;50,70;104,00;102,64;;777,00;;0,65;;;0,164
22501;08.02.08;3437,00;7,50;212,00;305,56;100,80;215,00;305,60;99,70;40,00;26,00;106,50;25,90;162,15;45,40;0,60;172,04;1168,00;79,00;0,50;44,20;36,46;47,90;48,60;99,80;98,49;;782,00;;0,68;;;0,219
22501;08.02.08;3437,00;7,94;210,63;298,69;100,60;209,00;298,70;100,60;48,00;27,80;106,60;28,50;189,82;52,80;1,00;201,32;1401,00;93,10;1,00;44,20;36,46;47,90;48,60;99,80;98,49;;782,00;;0,68;;;0,218
22501;09.02.08;3437,00;9,53;193,52;278,23;100,60;193,00;278,20;100,60;54,00;35,10;106,60;36,30;250,43;63,90;1,50;264,35;1996,00;110,80;1,60;44,20;36,46;47,90;48,60;100,10;98,79;;782,00;;0,68;;;0,2
22501;10.02.08;3437,00;11,11;175,23;256,21;101,20;173,00;256,20;101,20;54,00;40,90;106,50;41,00;305,59;63,00;1,70;319,31;2545,00;115,50;1,90;44,20;36,46;47,90;48,60;100,10;98,79;;782,00;;0,68;;;0,161
22501;11.02.08;3437,00;12,70;153,35;234,19;101,30;154,00;234,20;101,60;56,00;45,60;106,40;46,20;344,29;69,00;0,90;359,32;3043,00;113,20;1,00;44,20;36,46;47,90;48,60;100,30;98,99;;782,00;;0,68;;;0,157
22501;12.02.08;3437,00;14,29;138,16;216,90;101,40;138,00;216,80;100,20;57,00;49,30;106,43;49,70;360,23;71,10;0,80;375,72;3320,00;116,80;0,80;44,20;36,46;47,90;48,60;100,70;99,38;;782,00;;0,68;;;0,154
22501;13.06.11;3440,00;7,94;163,62;174,00;92,05;163,00;174,00;90,95;44,00;25,60;102,55;25,94;145,68;33,94;0,24;154,32;1187,00;60,90;0,20;44,20;29,17;56,10;-;90,00;88,82;;770,10;;0,57;;;0,18
22501;16.06.11;3440,00;7,94;163,60;228,46;92,59;164,00;229,10;92,64;42,00;24,80;102,51;25,81;145,72;33,63;0,24;154,29;1168,00;60,10;0,20;44,20;29,17;56,10;-;90,40;89,22;;770,10;;0,57;;;0,178
22501;17.06.11;3440,00;7,94;163,00;228,10;92,63;163,00;231,40;94,15;43,00;26,60;102,07;26,24;144,77;33,85;0,24;153,39;1172,00;59,80;0,20;44,20;29,17;56,10;-;90,70;89,51;;770,10;;0,57;;;0,18
22503;26.06.07;3277,80;6,35;288,78;382,50;101,90;288,78;378,60;104,10;26,50;-;106,20;25,90;168,59;48,30;0,80;178,86;1891,00;116,80;0,80;44,50;40,35;53,90;52,70;101,50;100,17;;781,00;;0,67;;;0,224
22503;26.06.07;3277,80;9,53;282,70;373,70;103,80;282,70;379,60;103,50;39,00;-;106,40;40,10;354,22;89,80;3,20;373,32;1192,00;82,60;0,80;44,50;40,35;53,90;52,70;101,50;100,17;;186,00;;0,67;;;0,199
22503;27.06.07;3277,80;11,11;271,55;365,70;103,60;271,55;372,70;102,90;45,30;-;106,47;46,10;460,41;117,30;0,60;485,34;2740,00;152,80;3,30;44,50;40,35;53,90;52,70;103,20;101,85;;790,00;;0,67;;;0,201
22503;28.06.07;3277,80;12,70;254,33;354,50;104,10;254,33;364,10;103,80;50,30;-;106,40;50,50;569,07;138,40;1,60;598,49;3730,00;196,50;0,60;44,50;40,35;53,90;52,70;102,70;101,36;;787,00;;0,67;;;0,191
22503;29.06.07;3277,80;14,30;239,13;345,90;105,80;239,13;354,60;104,00;53,50;-;106,70;54,00;648,10;158,00;1,80;681,69;4726,00;232,40;1,70;44,50;40,35;53,90;52,70;103,10;101,75;;787,00;;0,67;;;0,192
22503;28.02.08;3276,00;7,50;268,00;370,04;95,00;268,00;370,10;95,40;56,00;28,60;104,98;30,40;246,61;69,90;1,20;261,47;1967,00;114,70;1,10;44,50;39,44;48,30;45,60;94,30;93,07;;785,00;;0,67;;;0,222
22503;29.02.08;3276,00;9,53;262,00;364,68;94,90;262,00;364,60;94,90;62,00;36,30;105,18;37,50;350,09;94,40;1,40;370,16;2970,00;154,50;1,40;44,50;39,44;48,30;45,60;93,50;92,28;;785,00;;0,67;;;0,212
22503;01.03.08;3276,00;11,11;252,00;357,12;97,00;252,00;357,00;96,90;66,00;42,80;105,24;43,70;452,11;117,60;1,40;477,12;3869,00;196,70;1,40;44,50;39,44;48,30;45,60;95,30;94,05;;785,00;;0,67;;;0,204
22503;02.03.08;3276,00;12,70;237,40;347,44;95,70;238,00;347,50;95,80;70,00;47,50;105,23;47,90;562,20;142,00;2,10;592,39;5012,00;235,70;2,00;44,50;39,44;48,30;45,60;94,20;92,97;;785,00;;0,67;;;0,198
22503;03.03.08;3276,00;14,30;220,00;337,88;99,80;220,00;337,70;99,30;70,00;51,80;105,16;52,10;653,25;154,70;2,30;686,15;5733,00;264,30;2,40;44,50;39,44;48,30;45,60;98,50;97,21;;785,00;;0,67;;;0,186
22503;16.01.09;3284,00;7,94;241,12;335,20;88,70;241,00;335,50;89,00;51,00;27,00;104,68;27,20;215,34;55,40;1,10;226,54;1773,00;93,10;1,10;44,50;35,28;40,50;41,60;89,70;88,53;;782,00;;0,66;;;0,201
22503;20.01.09;3284,00;9,53;240,00;328,10;91,20;240,00;328,40;91,40;59,10;34,90;104,84;35,70;312,61;72,70;1,90;325,43;2750,00;119,20;2,00;44,50;35,28;40,50;41,60;88,90;87,74;;782,00;;0,66;;;0,182
22503;24.01.09;3284,00;11,11;229,00;318,00;98,00;228,00;318,30;98,90;63,30;41,40;104,85;42,50;409,23;86,30;3,50;424,74;3583,00;143,90;3,50;44,50;35,28;40,50;41,60;91,00;89,81;;782,00;;0,66;;;0,165
22503;28.01.09;3284,00;12,70;215,00;307,80;98,60;215,00;308,10;97,20;65,00;45,80;104,78;46,30;479,09;93,50;4,70;495,63;4165,00;156,80;4,80;44,50;35,28;40,50;41,60;94,40;93,17;;782,00;;0,66;;;0,153
22503;01.02.09;3284,00;14,29;198,00;293,60;98,50;197,00;293,90;98,40;66,90;49,80;104,63;50,50;568,50;106,60;6,40;587,36;5113,00;174,30;6,50;44,50;35,28;40,50;41,60;94,00;92,77;;782,00;;0,66;;;0,147
22503;16.08.10;3288,60;7,94;231,23;309,10;92,60;230,00;307,10;92,70;51,00;-;104,40;28,10;215,80;50,50;0,45;224,86;1759,00;84,70;0,40;48,37;33,21;-;-;89,90;88,72;;779,60;;0,67;;;0,182
22503;20.08.10;3288,60;11,11;217,20;293,90;93,10;215,00;293,90;93,30;60,00;-;104,60;41,30;387,68;72,00;1,50;403,75;3454,00;123,00;1,60;48,37;33,21;-;-;90,80;89,61;;779,60;;0,67;;;0,145
22503;02.10.11;3289,80;9,53;199,00;271,00;95,95;199,00;272,30;94,64;56,00;-;103,90;36,16;264,30;47,60;1,00;274,94;2223,00;80,00;1,10;48,40;-;39,90;-;94,00;92,77;;772,60;;0,67;;;0,139
22505;11.07.07;3672,30;6,35;282,70;375,05;106,18;282,70;372,10;105,49;25,00;-;106,60;24,16;164,79;47,63;0,87;171,68;1047,00;75,00;0,90;43,00;43,98;58,80;65,90;106,00;104,61;;;;;;;
22505;12.07.07;3672,30;9,53;268,51;356,77;106,42;268,51;354,60;104,84;47,00;-;106,80;36,77;339,98;100,07;5,07;354,42;2422,00;156,60;5,00;43,00;43,98;58,80;65,90;105,80;104,42;;;;;;;
22505;13.07.07;3672,30;11,11;252,30;340,86;106,53;252,30;337,00;106,30;47,00;-;106,70;42,81;424,46;124,34;1,69;443,02;3175,00;194,00;1,70;43,00;43,98;58,80;65,90;105,80;104,42;;;;;;;
22505;14.07.07;3672,30;12,70;232,03;323,67;106,10;232,03;321,50;105,74;47,00;-;106,50;47,77;506,70;149,28;1,52;529,01;3955,00;231,80;1,50;43,00;43,98;58,80;65,90;105,40;104,02;;;;;;;
22505;15.07.07;3672,30;14,29;213,80;306,71;106,11;213,80;318,30;106,64;47,00;-;106,30;51,15;563,91;165,69;1,42;589,00;4511,00;256,80;1,50;43,00;43,98;58,80;65,90;106,60;105,21;;;;;;;
22505;11.11.08;3679,50;7,94;241,00;335,97;89,82;241,00;333,40;87,59;48,20;22,00;106,73;21,99;236,76;67,37;0,50;245,97;1599,00;99,50;0,50;43,00;38,74;48,00;61,80;86,50;85,37;;;;;;;
22505;13.11.08;3679,50;9,53;231,22;325,47;89,44;229,00;321,70;89,37;54,70;29,50;106,70;29,49;331,07;87,20;1,55;342,92;2382,00;128,00;1,50;43,00;38,74;48,00;61,80;88,00;86,85;;;;;;;
22505;14.11.08;3679,50;11,11;219,12;311,69;91,74;217,00;306,60;91,69;60,60;36,80;106,59;36,95;420,97;107,68;2,91;435,68;3100,00;158,90;2,90;43,00;38,74;48,00;61,80;89,70;88,53;;;;;;;
22505;15.11.08;3679,50;14,29;188,39;288,76;96,32;186,00;280,40;100,59;64,00;46,00;106,27;46,01;585,89;140,76;5,14;605,36;4343,00;210,40;5,20;43,00;38,74;48,00;61,80;92,70;91,49;;;;;;;
22505;11.09.09;3678,00;7,94;224,80;319,64;87,46;224,00;317,50;86,87;50,30;22,90;105,38;23,29;207,40;61,30;1,30;219,37;1852,00;91,30;1,30;46,74;36,96;60,90;60,80;83,70;82,61;;;;;;;
22505;15.09.09;3678,00;9,53;216,50;310,28;89,16;214,00;299,30;90,02;48,60;30,80;105,36;30,78;286,10;75,00;1,20;300,83;2647,00;111,90;1,30;46,74;36,96;60,90;60,80;85,50;84,38;;;;;;;
22505;19.09.09;3678,00;11,11;197,50;291,38;92,07;194,00;277,30;91,77;52,40;37,80;105,16;37,69;356,40;83,10;1,50;371,28;3324,00;125,00;1,50;46,74;36,96;60,90;60,80;88,60;87,44;;;;;;;
22505;23.09.09;3678,00;12,70;182,20;271,59;93,26;179,00;258,60;92,70;55,60;41,80;104,91;41,83;394,60;85,10;1,50;408,97;3728,00;128,30;1,50;46,74;36,96;60,90;60,80;89,70;88,53;;;;;;;
22505;27.09.09;3678,00;14,29;157,00;249,08;96,47;153,00;233,50;100,06;56,70;47,60;104,50;47,72;455,60;89,40;1,70;471,01;4302,00;135,90;1,70;46,74;36,96;60,90;60,80;87,30;86,16;;;;;;;
22505;09.04.10;3679,50;7,94;211,90;289,39;91,13;208,00;289,60;91,30;47,00;24,40;104,90;24,84;188,43;61,47;1,12;200,87;1550,00;92,40;1,10;46,74;38,65;64,10;61,30;88,20;87,05;;;;;;;
22505;14.04.10;3679,50;9,53;204,00;282,87;91,17;201,00;275,30;91,62;48,90;26,70;104,88;31,58;261,04;72,91;4,75;273,71;2265,00;108,90;4,80;46,74;38,65;64,10;61,30;88,50;87,34;;;;;;;
22505;17.04.10;3679,50;11,11;187,50;267,48;91,53;184,00;255,00;89,51;53,50;33,30;104,69;37,48;323,37;82,49;6,28;337,68;2918,00;122,70;6,30;46,74;38,65;64,10;61,30;89,80;88,63;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
